codigo_estudiante,nombre,curso_codigo,curso_nombre,grupo
,UNIVERSIDAD NACIONAL DE SAN AGUSTIN DE AREQUIPA,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ESCUELA PROFESIONAL : CIENCIA DE LA COMPUTACIÃN,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ALUMNOS MATRICULADOS POR ASIGNATURA,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,ASIGNATURA : TRABAJO INTERDISCIPLINAR III,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,CICLO : B - GRUPO : A,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
,FECHA : 2025-10-09,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
CUI,Nro,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20190652,1,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20193254,2,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20204682,3,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20190755,4,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20180102,5,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20173456,6,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200556,7,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200730,8,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20202230,9,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210691,10,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210671,11,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20180683,12,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20212159,13,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20212162,14,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20213122,15,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20213140,16,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210689,17,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210695,18,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200734,19,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20213143,20,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210686,21,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20190750,22,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20181740,23,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20193061,24,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200724,25,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20200729,26,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
20210683,27,1705267,ALUMNOS MATRICULADOS POR ASIGNATURA | nan | nan | nan | nan,B
